id;start_date;end_date;language
1;2020-06-20T14:36:12;2020-06-20T12:26:27;SPANISH
2;2020-06-19T19:26:23;2020-06-20T14:30:48;SPANISH
3;2020-06-20T10:21:42;2020-06-19T20:55:51;FRENCH
4;2020-06-20T01:39:13;2020-06-20T13:10:39;FRENCH
5;2020-06-20T11:09:31;2020-06-20T15:56:30;FRENCH
6;2020-06-20T05:01:52;2020-06-20T17:10:06;FRENCH
7;2020-06-20T06:47:12;2020-06-20T00:38:03;FRENCH
8;2020-06-20T05:43:25;2020-06-20T15:59:33;SPANISH
9;2020-06-20T04:24:34;2020-06-20T01:05:57;SPANISH
10;2020-06-20T12:36:38;2020-06-19T23:11:08;SPANISH
